plant_species,plant_part,extraction_solvent,extraction_method,concentration_mg_per_ml,crop_species,crop_variety,germination_percent,root_length_mm,shoot_length_mm,total_phenolic_content_mg_gae_per_g,compound_lantadene_a,compound_lantadene_b,compound_lantadene_c,compound_lantadene_d,compound_icterogenin,compound_luteolin,compound_hispidulin,compound_quercetin,compound_kaempferol,compound_caffeic_acid,compound_chlorogenic_acid,compound_caryophyllene,compound_alpha_humulene,compound_alpha_pinene,compound_camphene,compound_linalool,agg_mw,agg_tpsa,agg_logp,agg_hbd,agg_hba,agg_rotatable_bonds,agg_aromatic_rings,agg_heavy_atom_count,agg_fraction_csp3
lantana camara,leaf,aqueous,aqueous extraction,10.0825,zea mays,,59.82780231236798,55.9133519762739,61.84854857090968,12.44,0.9568174232309746,0.9155379592970756,0.9619936656109352,0.7396383866481223,0.8451585976627712,0.6774025432562018,0.8012370444667335,0.491447642886942,0.6849429446145282,0.5501000333444481,0.5958148741634461,0.8551637863133023,0.8355887276785714,0.290295239440599,0.4042042889390519,0.5878181059657906,300.31092481069265,60.609063493034085,4.018699431438778,1.7298600125659653,3.1089726504614354,1.740030682332693,0.8139796451316663,21.80744130240093,0.48609117188450124
parthenium hysterophorus,leaves,aqueous,,0.0,sorghum bicolor,,93.0,55.15254874239884,70.55376079592342,,0.0,0.0,0.0,0.0,0.0,0.436731290389827,0.0,0.5949103045473508,0.0,0.721407135711904,0.8048826468093129,0.1890376685354214,0.0,0.0,0.0,0.0,277.947844679131,114.81105012854356,1.2815948546075437,4.264698209604079,5.601825939110082,2.1416419419481523,1.6822958285869065,20.012378071020166,0.1544063572821635
lantana camara,root,aqueous,aqueous extraction,99.1149,triticum aestivum,,11.566906325099884,7.553456303935216,9.501263816575232,22.82,0.975425567423231,0.8524692644300895,0.7342890481746959,0.8962447844228094,0.8510016694490818,0.6704190118824266,0.9747576061517887,0.4096787651230705,0.9866406902310048,0.4574858286095365,0.7565274766707513,0.6792846221563268,0.9559849330357144,0.3055516315863822,0.3419864559819413,0.6276595744680852,303.17100430532867,64.25792732280333,3.917314662658649,1.8596510714405359,3.316649476476912,1.775864600879558,0.900926789672295,22.01036672324304,0.4692412121771019
lantana camara,leaf,ethyl_acetate,solvent extraction,25.3569,sorghum bicolor,,43.21302248088341,33.00036964360627,45.64479419376652,31.47,0.7837116154873164,0.9843022851983052,0.8718119686614437,0.7949930458970793,0.6807178631051753,0.913174900979779,0.72584419926446,0.4047768043387568,0.8305037573058726,0.4370623541180393,0.552832500706947,0.9602001575313904,0.7774832589285715,0.3632575222489052,0.2896444695259593,0.5702962035878182,302.92016556702777,62.083077958283596,4.025334631698573,1.7793196759613576,3.2000701007149024,1.7053015163722502,0.8786339414715494,22.006715560711367,0.47758237081406174
phaseolus vulgaris l.,leaf,aqueous,dilution of ground L. camara powder in distilled water,80.0,phaseolus vulgaris,Nasir,12.074357615667877,8.462921258926496,11.293542448816387,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4165623696287026,0.0,0.5488496165388462,0.5376567065698935,0.2285131816707594,0.0,0.1700098884023167,0.0,0.0,256.9974499361637,97.80076097353628,1.4658327263811317,3.6576204594510884,4.661220806129365,2.0474434559510035,1.2285462514530434,18.48748431847861,0.2533207484798912
lantana camara,leaf,ethanol,solvent extraction,2.4773,zea mays,,63.371097666593045,56.03299847196794,75.46781988204788,60.79,0.975425567423231,0.6960477877335557,0.704784130688448,0.9780250347705144,0.9841402337228716,0.7191994996873047,0.7034436643263122,0.5006257822277848,0.8199276370720847,0.5746915638546182,0.6551984164388727,0.7292313394801465,0.7779017857142857,0.3655177284927249,0.3446670428893905,0.6804338756779308,300.47113831241415,62.42549492184783,3.9459920670583366,1.8095973199009876,3.1951899099108574,1.7850403066955838,0.8438985990346939,21.813379443950517,0.47750687062206265
lantana camara,stem,aqueous,aqueous extraction,0.0,zea mays,,71.21315570368282,69.33561339208373,80.57768825858048,17.37,0.7491655540720961,0.9611030075710216,0.791465244207368,0.8164116828929068,0.8046744574290484,0.8730456535334584,0.7193246405884319,0.3697329995828118,0.7581408293904816,0.5197565855285096,0.6444528230747478,0.6997173701524348,0.8867885044642856,0.3931346235343975,0.3521444695259593,0.6545682102628285,301.3976621101226,62.46538131003595,3.9575887011650837,1.7954201946015984,3.2033916324321825,1.750293569770355,0.8482134303660404,21.8815458720405,0.4794453503102798
parthenium hysterophorus,leaf,aqueous,aqueous extraction,5.0587,zea mays,,62.09618497126096,51.47703787406172,67.86597336854959,21.06,0.0,0.0,0.0,0.0,0.0,0.3482384823848239,0.0,0.5824989570296204,0.0,0.7219073024341447,0.901310208313696,0.208358430246027,0.0,0.0,0.0,0.0,279.88848755219317,115.78815657494997,1.207034575859375,4.300392546379407,5.626851492509072,2.2402061082833558,1.5984536223542118,20.12357795196467,0.17116504311874148
avena sativa,seeds,aqueous,aqueous extraction,25.0,avena sativa,,78.0,41.389077934255255,50.441140466328285,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4148936170212766,0.0,0.4100533511170389,0.4904326515222924,0.2094240837696335,0.0,0.2049724537364034,0.0,0.0,258.0317981451809,96.6512070133518,1.525654828527657,3.6115794646078037,4.658334866794043,1.9691305114838697,1.2401413008356654,18.571264727904037,0.2768248152643432
lantana camara,leaf,aqueous,aqueous extraction,98.5128,oryza sativa,,9.278102214395176,6.804289254256026,8.775682885931,15.06,0.9205607476635514,0.9800652913801486,0.8871478579763294,0.8116828929068151,0.9173622704507512,0.9230769230769232,0.7945503176195252,0.3971631205673759,0.812134706373504,0.563187729243081,0.6124988217551136,0.7490617615716074,0.73974609375,0.3655883599378443,0.291196388261851,0.5588235294117647,303.6023961260157,63.2637486506775,3.9770700680633366,1.813303807321907,3.249645201172182,1.740088302671986,0.879247301668416,22.046678440328066,0.4745035562400437
eucalyptus globulus,leaf,aqueous,aqueous extraction,0.0,hordeum vulgare,,54.27689359606092,47.6461380241964,64.7648283214478,11.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3480326775591864,0.9234612121783392,0.3636658481212065,0.0,0.8696849837547677,0.8628668171557562,0.7511472674176054,229.99409916349103,53.536856519701985,2.5032024192894715,1.885824775075014,2.5437228407824644,2.2327243822332683,0.30870052836665296,16.545134666980097,0.5617433485250445
parthenium hysterophorus,leaf,methanol,solvent extraction,50.2488,oryza sativa,,22.57014786875924,16.373701328854892,19.557845956403604,53.19,0.0,0.0,0.0,0.0,0.0,0.4002501563477173,0.0,0.5785356695869838,0.0,0.9751583861287096,0.7902724102177396,0.1977018950099615,0.0,0.0,0.0,0.0,268.75590173024733,110.98265951337386,1.2791873911088432,4.13362522501673,5.336281400403513,2.137344762309348,1.59820479272822,19.350583359093285,0.14421776365750716
lantana camara,leaf,aqueous,aqueous extraction,5.0707,phaseolus vulgaris,,73.96069904350773,64.24393464396104,80.98050853777072,16.48,0.6698097463284378,0.7628672640133362,0.9173195532588766,0.9324061196105702,0.8747913188647747,0.9797790285595164,0.9704112337011032,0.3371923237380059,0.9323684942944614,0.4904134711570523,0.7362616646243755,0.8537738034564241,0.6699916294642857,0.2874699816358243,0.3924943566591422,0.7486441385064665,302.3342192927661,65.04620861017838,3.8760780631751612,1.904268951559574,3.3600218416500325,1.8211066238117457,0.9420157414587302,21.953233554513147,0.4598277997908762
mesosphaerum suaveolens,seeds,chloroform,GC-MS,1.0,mesosphaerum suaveolens,,85.9959043807637,68.66812864485415,91.10059759166376,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4108260325406759,0.0,0.4904134711570523,0.4841172589310962,0.2463976277625909,0.0,0.2164853792908602,0.0,0.0,252.82076108531777,92.9852178162779,1.5995854008997734,3.47902595498553,4.447453651599393,1.9340129440869243,1.1941139152576374,18.208464048785736,0.2755893779698546
parthenium hysterophorus,leaf,methanol,methanol extraction,25.0,cucumber,,76.0,30.72019070229159,41.35417115001738,,0.0,0.0,0.0,0.0,0.0,0.3931623931623931,0.0,0.5144972882770129,0.0,0.7737579193064354,0.712036949759638,0.2098874113885929,0.0,0.0,0.0,0.0,271.98809794200184,110.91589504756848,1.3420726832549132,4.124940798287918,5.369261870899238,2.1177435815878227,1.616681164053523,19.591438248849038,0.1547331712632654
acmella oleracea,aerial,ethanol,solvent extraction,50.5197,lactuca sativa,,19.700975819453923,15.83801425059245,17.83071065793571,37.05,0.0,0.0,0.0,0.0,0.0,0.8685636856368565,0.0,0.5599707968293701,0.0,0.5525175058352784,0.0,0.0,0.0,0.0,0.0,0.0,261.1755061928014,107.54135114482263,1.8960742334639498,4.003762289449295,5.445960163005364,1.2789010632219653,2.442197873556069,19.05145484689554,0.0
azadirachta indica,leaves,ethanol,leaf-dip,100.0,cabbage,,10.696647634647585,6.806781605911188,8.170843633478068,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3917396745932415,0.0,0.5714404801600533,0.4959939673861815,0.2467219570958625,0.0,0.226444413052691,0.0,0.0,249.23267157325074,91.91399871167911,1.5708258766224126,3.4408964901887362,4.359713484939266,1.9485791849735186,1.1605891820185876,17.94669282887503,0.2700170034855758
lantana camara,leaves,methanolic,sandwich method,0.0,wheat,Wafaq-2001,65.0,68.3205067099868,87.00504712586688,,0.943508010680908,0.9760366743071472,0.8659776629438241,0.8909596662030597,0.6853088480801336,0.9082760058369816,0.7987295218990303,0.3695244055068836,0.8558307820762594,0.5512670890296766,0.5958148741634461,0.7741741185192049,0.7854352678571428,0.3359937844328295,0.3055869074492099,0.5244055068836045,305.79980977015157,63.72026017042786,4.006892281276304,1.8197216586622633,3.275502074777779,1.735580850094101,0.8905092033792924,22.208648233593568,0.4722057668229287
lantana camara,leaf,ethyl_acetate,solvent extraction,10.1526,sorghum bicolor,,61.46754506364852,47.45995904113651,66.52785038887079,26.73,0.7735730974632844,0.6944502326873654,0.7196199366561095,0.8066759388038942,0.9613939899833056,0.7495309568480301,0.9558676028084252,0.3833959115561118,0.7381018647369886,0.4619873291097032,0.581487416344613,0.7260807116712228,0.68701171875,0.3893205254979516,0.3370485327313769,0.5882352941176471,299.4474485879021,62.59312384985928,3.9221788616015605,1.8093211592918879,3.2370226715154757,1.7598777400402712,0.902440907137231,21.750254132738437,0.4701631725030895
eucalyptus globulus,leaf,aqueous,aqueous extraction,0.98,triticum aestivum,,60.7740524041869,54.19617380810449,63.23507364979857,13.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4319773257752584,0.8896220190404375,0.3444377519343928,0.0,0.9614352309648256,0.740265237020316,0.7407175636211932,223.9014400473308,52.94986895376167,2.417479245061648,1.885018585270012,2.4982683826723546,2.181726670762284,0.3216779308830855,16.108598785134177,0.5519710977687907
lantana camara,leaf,aqueous,aqueous extraction,9.8676,zea mays,,54.50796052932127,47.009152093127696,56.32300846194992,17.43,0.6712283044058746,0.7263318746961173,0.9681613602267044,0.850904033379694,0.7178631051752922,0.8693975401292474,0.8172851889000334,0.4076971214017522,0.6919009184525466,0.5607702567522508,0.7635969459892545,0.6855395450122782,0.8643973214285714,0.2855629326176013,0.3040349887133182,0.713183145598665,299.21252448691746,64.27901593069222,3.836170555235726,1.8921605376858937,3.297027521821172,1.8130744615330054,0.8885427343290859,21.716592350455795,0.46395058945607126
parthenium hysterophorus,leaf,methanol,solvent extraction,9.6433,oryza sativa,,60.07319203230535,50.25956255805657,60.48628710583653,75.18,0.0,0.0,0.0,0.0,0.0,0.4924953095684803,0.0,0.5011472674176054,0.0,1.0,0.727589782260345,0.1871843580595839,0.0,0.0,0.0,0.0,265.9575952923979,109.40389784392596,1.3184483735298806,4.071375397639801,5.254996952972325,2.0943305778166295,1.618928087299667,19.164901541095844,0.1354570191102777
lantana camara,leaf,aqueous,aqueous extraction,2.5596,oryza sativa,,63.47667938204374,56.87858411601787,63.37492864800114,19.64,0.6813251001335113,0.7001458637216087,0.8851475245874312,1.0,0.6729966611018364,0.8731498853450074,0.8955198930123704,0.4583854818523153,0.840523239632619,0.5209236412137379,0.6323875954378357,0.8982995876384192,0.6780133928571429,0.3196072891651363,0.286540632054176,0.6166040884438883,303.3442283049392,64.88222097683723,3.91936342270521,1.8951501956925874,3.3479352750774125,1.7801355779534853,0.9449318589291256,22.032957349556895,0.4580399049411271
lantana camara,leaf,aqueous,aqueous extraction,5.0454,oryza sativa,,53.610838580084405,48.80233502447127,63.29966280632938,15.26,0.6931742323097464,0.7316802111551018,0.668111351891982,0.8161335187760779,0.779424040066778,0.8995205336668752,0.9558676028084252,0.3541927409261577,0.9771778458112996,0.4053017672557519,0.7485154114431143,0.8532178103136728,0.9211077008928572,0.3993501907049018,0.3696388261851016,0.6370463078848561,297.3795950562453,64.17314967917528,3.8218121265597946,1.899502017894464,3.325101946979359,1.7346392646156383,0.9558081531415596,21.602091556947784,0.4560243243630949
parthenium hysterophorus,whole plant,aqueous,aqueous extraction,23.8596,triticum aestivum,,36.03992870948869,29.840617565935293,41.96224635381617,16.41,0.0,0.0,0.0,0.0,0.0,0.4025432562017928,0.0,0.6560283687943264,0.0,0.8750416805601867,0.7468187388066736,0.2288838437659269,0.0,0.0,0.0,0.0,271.02134420492087,110.67624117378783,1.3733833042226702,4.12342722639676,5.364537118361026,2.0708695847338547,1.6490389764587319,19.531419185878768,0.14716804712462428
parthenium hysterophorus,whole plant,aqueous,aqueous extraction,0.9807,triticum aestivum,,58.31473855616437,53.74839771718995,71.64465920528123,13.77,0.0,0.0,0.0,0.0,0.0,0.438503231186158,0.0,0.6673967459324156,0.0,0.6736412137379125,0.650768215665944,0.2720196450910439,0.0,0.0,0.0,0.0,274.5180918893146,109.53384998096149,1.5354693024988004,4.076679552787436,5.376793757410789,1.971734311618297,1.7178179533643112,19.813342631328837,0.15544028294904694
parthenium hysterophorus,whole plant,aqueous,aqueous extraction,5.0559,triticum aestivum,,56.1274284428734,51.59132981614882,62.42422234671132,18.51,0.0,0.0,0.0,0.0,0.0,0.3802376485303315,0.0,0.6077388402169379,0.0,0.8106035345115038,0.7209916108964087,0.2488995969049715,0.0,0.0,0.0,0.0,271.3983843822473,109.77332155786716,1.4065693062461784,4.08796195428952,5.322555314314612,2.0740867861798344,1.6238292676526072,19.559233220429057,0.1558349350342427
ageratina adenophora,leaf,aqueous,dry,0.0,rice,Arize 6444,19.0,72.42230193593666,91.07758338816568,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.559136420525657,0.0,0.4758252750916972,0.0,0.2849464856600102,0.2261439732142857,0.0,0.0,0.0,233.00416135946102,71.43894419764686,2.7038230511735324,2.7315753324582848,3.4548839464674987,1.1614960408366741,1.3927308534922376,16.992112238542393,0.19801852649106688
lantana camara,leaf,aqueous,aqueous extraction,100.878,oryza sativa,,7.889191160996924,5.189382043310036,6.606272205367655,11.51,0.9164302403204272,0.7806487462665833,0.9336556092682116,0.952433936022253,0.7191151919866444,0.8000833854492392,0.8264794383149447,0.4308510638297873,0.835235179515725,0.4945815271757252,0.7437081723065322,0.6905898160589353,0.8620954241071428,0.3485661816640768,0.3452313769751693,0.6543596161869003,302.6175508246609,63.817401646350596,3.9215482619484265,1.8497882438446915,3.280243646898791,1.788161561075674,0.8749056039060267,21.967204752010716,0.47374632247611925
parthenium hysterophorus,leaf,methanol,solvent extraction,25.1014,oryza sativa,,40.07713664800024,34.51705652594527,42.43428998220553,39.37,0.0,0.0,0.0,0.0,0.0,0.4751928288513655,0.0,0.7477054651647893,0.0,0.991830610203401,0.6151380903006881,0.2714173191863967,0.0,0.0,0.0,0.0,264.7852429907367,106.24485995833845,1.5454877744421953,3.967910636008771,5.153249481720746,1.9148612620151564,1.701122196128837,19.125919540392374,0.13101016030852303
lantana camara,leaf,aqueous,aqueous extraction,99.8924,zea mays,,9.661031463600848,6.215307714980116,8.098137374205168,12.5,0.8865987983978638,0.6781968465652566,0.923487247874646,0.9343532684283726,0.8689482470784641,0.7699603919116115,0.9792711467736542,0.3494993742177722,1.0,0.5541847282427476,0.5524554623432935,0.948848630866886,0.9694475446428572,0.3439045062861986,0.3958803611738149,0.6925323320817689,295.47716425852354,60.08972759908035,3.9711634617540605,1.7374854545027234,3.104365786779022,1.7218285688355603,0.8780563361662056,21.474216249944472,0.46955713942673916
parthenium hysterophorus,whole plant,aqueous,aqueous extraction,101.614,triticum aestivum,,6.883074250082493,4.620918724989321,6.833269493485645,20.94,0.0,0.0,0.0,0.0,0.0,0.4512195121951219,0.0,0.6839799749687109,0.0,0.9866622207402468,0.7566217362616645,0.2072464439605245,0.0,0.0,0.0,0.0,268.8068687725348,110.62793297286679,1.3530407705925045,4.1236580856859755,5.34983230832622,2.0553507752108153,1.6686108652303127,19.375808381338263,0.13540841436435458
lantana camara,leaf,aqueous,aqueous extraction,2.5114,triticum aestivum,,84.67581849497466,72.93946437652471,79.79636685343287,13.56,0.8651952603471295,0.9188719872195596,0.7864644107351225,0.6712100139082058,0.8664440734557597,0.6828225974567439,0.9236041457706452,0.4984355444305382,0.6829947119398831,0.5497665888629543,0.5467998868884909,0.8986702497335867,0.9534737723214286,0.3160757169091679,0.2834367945823927,0.5383813099707969,297.488424944928,60.68810516297861,3.9781260749541625,1.746900537993984,3.1276882817994065,1.6909400346907035,0.8613713450827029,21.61312897429159,0.47376353614443234
lantana camara,leaf,ethyl_acetate,solvent extraction,10.0471,sorghum bicolor,,55.94216782800627,53.10783739158637,62.31683240059059,24.74,0.7876752336448599,0.8704591234284921,0.7656276046007668,0.7830319888734353,0.9317612687813022,0.7473420888055035,0.8090939485122032,0.369002920317063,0.7108266072919566,0.476158719573191,0.6798001696672636,0.6862808692026132,0.7408621651785714,0.4108631162593587,0.3779627539503385,0.723404255319149,300.14511241961225,62.116682152381145,3.929364413864117,1.7866038779750384,3.1908827183490023,1.799284837106057,0.83391243186231,21.785060898600392,0.48485459147476506
lantana camara,leaf,aqueous,aqueous extraction,9.9691,zea mays,,57.42333043587357,49.73944498197022,64.97306372373387,16.83,0.8873497997329773,0.9433909842328264,0.6749458243040508,0.7410292072322671,0.9054674457429048,0.9939545549301648,0.9640588431962556,0.3840216937838965,0.9251322015029224,0.4674891630543514,0.687906494485814,0.8047537413705231,0.9628208705357144,0.3226444413052691,0.3362020316027088,0.697747183979975,298.7958202520882,63.66225054668202,3.8777464974657083,1.8636505499615403,3.293820171421382,1.734923159756552,0.9365738638043468,21.703496410770832,0.46003041517444065
parthenium hysterophorus,whole plant,aqueous,aqueous extraction,2.4485,triticum aestivum,,62.51568704598952,58.508603853995325,66.09939357644289,10.45,0.0,0.0,0.0,0.0,0.0,0.427663122785074,0.0,0.5350438047559449,0.0,0.9330610203401132,0.774531058535206,0.1910299772969467,0.0,0.0,0.0,0.0,269.3367327961121,111.12611505808943,1.280513105435156,4.135225622254847,5.349513106123078,2.1381613978967957,1.6061462654791612,19.39394908478919,0.14470785487307836
chromolaena odorata,leaf,aqueous,aqueous extraction,0.0,zea mays,,70.33658535622412,59.763458576736255,73.77357457330356,16.72,0.0,0.0,0.0,0.0,0.0,0.6282051282051283,0.0,0.9411764705882352,0.0,0.4125541847282427,0.0,0.3095955149886485,0.0,0.3238451758722983,0.0,0.0,248.34212550378138,86.23064124319521,2.4004208692477227,3.2333262544708115,4.433445330378511,1.0339182560234992,1.957920410795637,18.13854534864749,0.17290286708696706
azadirachta indica,leaves,hexane,solvent extraction,10.0,cabbage,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4046725073007927,0.0,0.5922807602534178,0.4469789801112263,0.2605754529027475,0.0,0.212388755473937,0.0,0.0,246.9477213257539,90.1735296681378,1.6454496500147409,3.3815486890279582,4.270121970832079,1.8977161701609127,1.1754819907797405,17.798666661291463,0.2615769966158745
eucalyptus globulus,leaf,aqueous,aqueous extraction,4.8119,hordeum vulgare,,52.18994518527926,44.709704375280616,58.76789366754764,12.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3560353451150383,0.99245923272693,0.4082379650650976,0.0,0.806469840372934,0.9554176072234764,0.8151856487275762,233.65081241840304,54.59328856771401,2.5330143652905086,1.9188114503264793,2.597276595615976,2.294346283047254,0.3111571422665904,16.804690494292835,0.5590021208594733
lantana camara,leaf,ethanol,solvent extraction,97.5624,zea mays,,8.217731136257665,5.886782342632671,7.826206309396953,31.74,0.7373164218958612,0.7328610127109815,0.8579763293882314,0.8339360222531293,0.8616444073455759,0.6779237023139462,0.691073219658977,0.4010221109720484,0.6946841079877539,0.4527342447482494,0.788104439626732,0.7631005884260761,0.7280970982142857,0.3904506286198616,0.4118227990970655,0.624947851481018,300.8680862571812,62.48374165747944,3.914726779749703,1.810881671572302,3.197645611050214,1.8055880938448652,0.8109687701938034,21.832035593805816,0.4883882573210275
lantana camara,leaf,aqueous,aqueous extraction,24.5931,zea mays,,43.6620348449005,35.810302350176364,42.12968478939021,10.8,0.8813417890520694,0.7339723553518094,0.9628271378563094,0.9385257301808066,0.784432387312187,0.9038982697519284,0.8811434302908726,0.4578639966624948,0.8455329807959922,0.4954151383794598,0.6465265340748421,0.9271648982995876,0.7518833705357143,0.3150868766774968,0.4174661399548532,0.5075093867334167,302.85962533031795,63.33239732403551,3.9710310445244197,1.8338723438346112,3.267391049805286,1.7347596259852067,0.9088839371151258,22.00127186083127,0.46790755642768833
lantana camara,leaf,aqueous,aqueous extraction,9.4867,oryza sativa,,52.7733977912859,46.5933591736936,58.586595517550045,13.14,0.7580524032042724,0.8315621309995137,0.7326221036839473,0.9549374130737134,0.9426126878130218,0.8892015843235357,0.7860247408893346,0.4817480183562787,0.9415530197606458,0.4987495831943981,0.7318314638514469,0.9185470045869436,0.6802455357142857,0.3028676366718463,0.3150395033860045,0.6543596161869003,304.6911709852278,65.26421805233065,3.9173110088390577,1.9082469090754277,3.3578645764907096,1.791061749908212,0.9217342492116762,22.12240388507046,0.4645395442136385
lantana camara,stem,aqueous,aqueous extraction,5.0362,zea mays,,79.13695426081671,64.24737900544504,75.67599262453395,20.34,0.7682743658210949,0.75189275543516,0.903817302883814,0.8867872044506259,0.8184474123539233,0.8808630393996248,0.8946840521564694,0.3890279516061744,0.8839409963818536,0.4374791597199066,0.7753793948534264,0.7239030718621138,0.98876953125,0.3101426755191411,0.3895316027088036,0.7407175636211932,299.1520631578776,63.489839678871455,3.8738308397322845,1.860117011647826,3.2754903162895337,1.781992684190887,0.8973244530805411,21.719875166093157,0.46748022037542175
parthenium hysterophorus,leaf,aqueous,aqueous extraction,0.0,zea mays,,62.40173990077988,52.882513482618826,72.02846399866768,17.62,0.0,0.0,0.0,0.0,0.0,0.4763393787784032,0.0,0.547976637463496,0.0,0.8140213404468156,0.6669808653030446,0.2326831302413937,0.0,0.0,0.0,0.0,269.7395410799869,108.87547700059906,1.4418941787509207,4.050103885648305,5.285528316805359,2.0281090380251365,1.6632388624502654,19.45617200210043,0.14633940800320663
lantana camara,root,aqueous,aqueous extraction,2.5543,triticum aestivum,,88.34445116626226,75.81160000375802,98.32272889309348,13.46,0.9878588117489988,0.8651107869695075,0.8806467744624105,0.9045897079276772,0.9029632721202004,0.7800708776318532,0.7449013707790038,0.3652482269503546,0.9229056498747564,0.5905301767255752,0.564897728343859,0.6815085947273317,0.6962193080357143,0.3808447520836276,0.3494638826185101,0.5185648727576138,304.1906339967435,62.722777547174374,4.011456840125857,1.7853789615251785,3.215921227364194,1.742046184343258,0.8615774466416579,22.090400758362925,0.47803347155521236
lantana camara,seed,aqueous,filter paper,10.0,chenopodium album,C. album,58.0,91.6,0.0,0.0,0.7326852469959947,0.8563589636729875,0.9709951658609768,0.847009735744089,0.8768781302170284,0.979362101313321,0.9953192912069542,0.3731748018356279,0.6843863067074868,0.4308936312104034,0.54453765670657,0.7197331232914795,0.7385602678571428,0.4203277299053538,0.3549661399548532,0.5552774301209846,302.7270526537872,62.657174626978446,3.9905533177691757,1.786309467068024,3.2478464451568048,1.7286846309340655,0.9090013942791747,21.992698029234987,0.4736596343434569
ageratina adenophora,leaf,aqueous,aqueous extraction,0.0,oryza sativa,,48.57226737932842,45.663745959985576,56.04181715951059,8.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5612223612849396,0.0,0.4740746915638546,0.0,0.2707686605198536,0.2696010044642857,0.0,0.0,0.0,231.61418191275374,70.18376166914783,2.7281194743958994,2.683521732902775,3.3958834968890166,1.1297696300781095,1.3694150869584192,16.89300340244558,0.20332537263961897
lantana camara,leaf,aqueous,aqueous extraction,9.7058,zea mays,,58.28004243275618,53.873804719688096,69.08142344756132,24.98,0.7861315086782376,0.7831492672084462,0.9058176362727122,0.82336578581363,0.7883973288814692,0.7977902855951636,0.7355399531929121,0.4472256987901544,0.7286390203172836,0.5351783927975992,0.5974172872089735,0.8442292545058612,0.99658203125,0.3088713095069925,0.286540632054176,0.576136837713809,298.0497410006517,60.96809516442621,3.9748713482665528,1.7644254038897276,3.129490755676186,1.709294483890066,0.846373293366937,21.649765872358053,0.47512525143032
parthenium hysterophorus,whole plant,aqueous,aqueous extraction,0.0,triticum aestivum,,51.913551424939286,49.85056687801608,62.4571469146253,3.4,0.0,0.0,0.0,0.0,0.0,0.3856577027308735,0.0,0.5523571130579892,0.0,0.7580860286762253,0.6079743613912716,0.2018255108186999,0.0,0.0,0.0,0.0,269.6919288044939,109.55275070478895,1.4198125753735276,4.080975979031901,5.3148550125407965,2.0303716726159706,1.6681047296161176,19.448567539730806,0.14309559861018026
lantana camara,leaf,methanol,solvent extraction,0.0,lactuca sativa,,57.58819359417987,50.056305558159664,62.52546020067019,61.65,0.8750000000000001,0.8194068208654581,0.673612268711452,0.7507649513212795,0.7074290484140234,0.8055034396497811,0.7101303911735206,0.4022736754276179,0.8538825494016142,0.5863621207069023,0.5373739277971533,0.8199508872723903,0.8083844866071429,0.3567594292979235,0.2968397291196388,0.5801001251564456,297.5810224264077,62.18378161438068,3.923823658711315,1.813091070021428,3.1917916097732846,1.7092581796980417,0.8918469298773866,21.618166302731797,0.4647945549428941
eucalyptus globulus,leaf,aqueous,aqueous extraction,50.866,hordeum vulgare,,18.436529209647738,13.975783181866896,17.13881973292517,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.380376792264088,0.9146008106324818,0.4135198999212344,0.0,0.7328012431134341,0.8757054176072234,0.707133917396746,234.0155750423554,54.93454823536814,2.5365351887746037,1.9317731425808589,2.603943675616735,2.266503097675029,0.32180247716440624,16.835706045214195,0.5513743084502916
lantana camara,leaf,aqueous,aqueous extraction,0.0,oryza sativa,,75.56250216454147,60.22942840603243,83.12940136967065,14.05,0.9595710947930574,0.7220948808779607,0.9399899983330556,0.678442280945758,0.7990400667779634,0.7521367521367522,0.8395185556670011,0.4920734251147268,0.79543556916226,0.5753584528176059,0.7882929588085588,0.8615577074549414,0.7651367187499999,0.3869190563638932,0.376834085778781,0.5604922820191907,295.36123027483825,63.1087570288926,3.8091086022862033,1.8705384527094533,3.2387864823864767,1.7472350885207222,0.8856139461686405,21.444803089523067,0.46606531348315816
ageratina adenophora,leaf,aqueous,aqueous extraction,10.2375,oryza sativa,,45.070975284043456,37.48657268981071,49.22645517667721,12.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5014601585314977,0.0,0.4713237745915304,0.0,0.2820738544224621,0.2744838169642857,0.0,0.0,0.0,228.76135739793745,67.03665344264138,2.784007835937227,2.5640263135906958,3.219811989011771,1.128708953609054,1.2918658881442826,16.68880100288756,0.2159866401216956
