plant_species,plant_part,extraction_solvent,extraction_method,concentration_mg_per_ml,crop_species,crop_variety,germination_percent,root_length_mm,shoot_length_mm,total_phenolic_content_mg_gae_per_g,compound_data,incubation_temp_c,incubation_days,tds_mg_per_ml,notes,confidence,source_file,study_id,incability_days,inculation_days,extraction_concentration,effect_on_growth,effect_on_nematodes,reference,germination_percentage,hypocotyl_length,radicle_length,total_seedling_length,total_phenic_content_mg_gae_per_g,root_biomass,shoot_biomass,root_shoot_ratio,inc,total_phenolic_content,incubation_temp,tds,tds_mg,root_length,leaf_area,stomatal_conductance,leaf_length_mm,leaf_width_mm,flower_count,flower_size_mm,seeds_per_pod,pod_length_mm,pod_width_mm,pod_weight_g,seed_weight_g,seed_count,seed_maturity_days,seed_viability_percent,seed_harvest_time,seed_storage_time,seed_storage_conditions,seed_storage_temperature,seed_storage_humidity,seed_storage_moisture_content,seed_storage_chemicals,seed_storage_pests,seed_storage_disease,seed_storage_other,root_length_cm,root_mass_g,leaf_length,leaf_width,seed_weight,seed_size,seed_shape,seed_color,seed_maturity,seed_ripening,seed_harvest,seed_storage,seed_drying,seed_cleaning,seed_sowing,seed_growth,seed_germination,seed_viability,seed_health,seed_quality,seed_yield,seed_productivity,seed_resilience,seed_disease,root_diameter_mm,incianation_days,compound,activity
Vernonia aemulans,leaves,ethanol,disc diffusion,,,,,,,,{},,,,"The ethanolic extract of Vernonia aemulans leaves showed antimicrobial activity against E. coli, B. subtilis, S. aureus, and S. typhimurium (inhibitory zones 3-26 mm) but not against S. cerevisiae (yeast used in beer fermentation).",0.0,33591051d75f.html,d96547b2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,33591051d75f.html,d96547b2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vernonia aemulans,leaves,ethanol,soxhlet,,,,,,,,{},,,,Phytochemical analysis of Vernonia aemulans for antimicrobial activity in beverages,0.0,33591051d75f.html,d96547b2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melilotus indica,whole plant,water,water extraction,50.0,wheat,wheat,81,,,,{},,,,,0.0,369ab99ebc4b.pdf,9e78c92b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicia sativa,leaves,distilled water,soaking at 1:20 w/v ratio for 24 hours,,Triticum aestivum L.,,,,,,{},,,,Study on allelopathic effect of Vicia sativa water extract on wheat germination and biomass production. Extract prepared by soaking plant material in distilled water at 1:20 w/v ratio for 24 hours.,0.0,369ab99ebc4b.pdf,9e78c92b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melilotus indica,shoot,water,aqueous,2.5,,,,,,,{},,,,,,369ab99ebc4b.pdf,9e78c92b,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V. sativa,residues,,,,wheat,,,,,,{},,30.0,,"The effect of V. sativa residues with a 30-day decomposition period was statistically similar with a slightly lower effect. Root dry biomass (64%) production was hindered most by the allelopathic effect of V. sativa residues without any decomposition. Root/shoot ratio of wheat seedlings was decreased in response to weeds’ residues toxicity as compared to control. However, in some instances, there was also an increase in root/shoot ratio by the influence of weed. Source: Planta Daninha 2017; v35:e017167321",0.0,369ab99ebc4b.pdf,9e78c92b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,water,aqueous extraction,,Bidens pilosa,,,,,,"{""lantadene_a"": ""yes"", ""lantadene_b"": ""yes""}",,,,"The extract reduced germination speed index and seedling growth, caused abnormalities in geotropism and root development. Third germination phase was highly affected.",0.0,37f87f51bc77.pdf,251448b1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L. camara,leaves,water,dilution in water,,B. pilosa,,,,,,{},25.0,,,"Study on L. camara leaf extract effects on B. pilosa seed germination and seedling growth. Extract concentrations: 0%, 1.25%, 2.5%, 3.75%, 5.0% (v/v). Germination reduced in presence of extract. At 5% concentration, hypocotyl and radicle reduced by 26% and 45% in LAG population and by 24% and 47% in SMA population.",0.0,37f87f51bc77.pdf,251448b1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bidens pilosa,seeds,aqueous,aqueous extraction,,Bidens pilosa,,,,,,{},,,,"Aqueous extract of Lantana camara leaves (0%, 1.25%, 2.5%, 3.75%, 5% v/v) applied to Bidens pilosa seeds, inhibiting germination and seedling growth.",0.0,37f87f51bc77.pdf,251448b1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,leaves,,Green synthesis using plant extracts,,,,,,,,{},,,,"Review article discussing green synthesis of silver nanoparticles from plant extracts for antimicrobial, antifungal, antiviral, and anticancer applications",0.0,3b551dc37693.pdf,e22e1ed5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youngia japonica,leaves,water,green synthesis,,Youngia japonica,,,,,,{},,,,"Synthesized AgNPs from Youngia japonica leaves (60 mL extract + 10 mL AgNO3 at 60°C for 40 min) with average size 20 nm, spherical shape, antibacterial activity against lily stem pathogens.",0.0,3b551dc37693.pdf,e22e1ed5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pimpinella anisum,seeds,,,,,,,,,,{},,,,"AgNPs synthesized from Pimpinella anisum seeds displayed antimicrobial activity against Escherichia coli, Staphylococcus aureus, Aspergillus flavus, and Candida albicans [48].",0.0,3b551dc37693.pdf,e22e1ed5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,,,,,,,,,,{},,,,"Lantana camara is a Category-I invasive weed in India with significant ecological impact. Its leaves are used in traditional medicine for treating hypertension, infections, and skin disorders. The plant also provides socio-economic benefits through soil conservation, biofuel production, and paper pulp. However, it poses health risks and can cause cattle mortality.",0.0,405e5715c28d.pdf,21002cfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,,,,,,,,,,{},,,,"Lantana camara is an invasive species in India with active constituents in leaves exhibiting antimicrobial, fungicidal, insecticidal, nematicidal, and biocidal activities. It is utilized in traditional medicine, biofuels, and handicrafts. Current control methods have not eradicated it at the root level.",0.0,405e5715c28d.pdf,21002cfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,water,leachate,,Eichhornia crassipes,,,,,,{},,,,"Saxena, M.K., 2000. Aqueous leachate of Lantana camara kills water hyacinth. Journal of Chemical Ecology 26, 2435–2447.",0.0,405e5715c28d.pdf,21002cfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,410be39b1005.html,ff02cb29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raphanus sativus,leaf,methanol,extraction,,Raphanus sativus,,,,,,{},,,,,0.0,47a9e5a823a9.pdf,0d274d01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bambara groundnut,aerial parts,Methanol (80% v/v),"Orbital shaker (48h, 150 rpm, 24-26°C)",,Bambara groundnut,,,,,,{},,,,"The study evaluated the allelopathic effects of methanolic extracts from Parthenium hysterophorus aerial parts on Bambara groundnut, radish, sweet gourd, and other crops and weeds.",0.0,47a9e5a823a9.pdf,0d274d01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parthenium hysterophorus,leaf,methanol,methanol extraction,25.0,cucumber,,76,,,,{},,7.0,,LC-MS analysis with methanol extraction; germination percentage at 25 g/L concentration,0.0,47a9e5a823a9.pdf,0d274d01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sicyos deppei,whole plant,water,leaching,,Zea mays,,,,,,{},,,,This study tested the effect of aqueous leachates from Sicyos deppei on maize radicle growth and cytoplasmic protein synthesis patterns.,0.0,52861c38be39.html,5443751c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sicyos deppei,,,,,Zea mays,,,,,,{},,,,References: 1997-2002 studies on phytochemical variability and allelopathic effects,0.0,52861c38be39.html,5443751c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,,air drying and milling,,,pink,,,,4.7,{},,,,"Study found Lantana camara leaves (pink, red, white varieties) have total phenolic content of 4.7 g/kg dry matter, with red and white varieties having twice the phenolic content of pink variety. The plant is safe for livestock in Zimbabwe as per the study.",0.0,418eaa438e71.pdf,e74e6da0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,70% aqueous acetone,Folin Ciocalteu method,,Lantana camara,"pink, red, white",,,,4.7,{},,,,,0.0,418eaa438e71.pdf,e74e6da0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,biomass,,,,Lantana camara,pink,,,,,{},,,,"Pink variety has low total phenolic compounds (0.09% for red, 1.26% for white) and high CP, making it suitable as protein supplement for ruminants.",0.0,418eaa438e71.pdf,e74e6da0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,ethanol,soxhlet,,,,,,,,"{""linalool"": 15.2, ""eugenol"": 12.8, ""camphor"": 8.5}",,,,Chemical composition of essential oil from Lantana camara leaves,0.8,418eaa438e71.pdf,e74e6da0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,527dd3d05a5a.pdf,c44ca11a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cucumis sativus,roots,nutritive solution,exudation,,Cucumis sativus,,,,,,{},,,,"Benzoic and cinnamic acid are allelochemicals exuded by cucumber (Cucumis sativus), watermelon, and melon (Cucurbitaceae family). Cinnamic acid addition to nutritive solution caused oxidative stress in cucumber roots but not in Cucurbita ficifolia.",0.0,527dd3d05a5a.pdf,c44ca11a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oryza sativa,root,water,soil extraction,,Oryza sativa,IR50404,,,,,{},,,,Momilactone B is a diterpenoid allelochemical in rice roots that inhibits weed growth.,0.0,527dd3d05a5a.pdf,c44ca11a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sorghum,root exudates,hydrophobic,root exudates,,Sorghum,,,,,,"{""sorgoleone"": ""2-hydroxy-5-methoxy-3-[(8'Z,11'Z)-8',11',14'-pentadecatriene]-p-benzoquinone""}",,,,Sorgoleone is a hydrophobic benzoquinone compound found in sorghum root exudates that acts as an allelochemical to inhibit weed growth.,0.0,527dd3d05a5a.pdf,c44ca11a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalbergia sissoo,seeds,distilled water,soaking leaves in distilled water at 28°C for 25 days,,Dalbergia sissoo,,2.5,,23.0,,{},28.0,30.0,,Lantana camara leaf extract (40%) caused 2.5% germination in Dalbergia sissoo,0.0,5862b00a6751.pdf,c502c151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalbergia sissoo,leaf,aqueous,leachate,,,,85,14.0,23.0,,{},,,,Lantana camara leaf extract caused reduced germination in Dalbergia sissoo,0.0,5862b00a6751.pdf,c502c151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,acetone,cell free culture filtrate,0.1,Lantana camara,,,,,,{},,,,"Tenuazonic acid was identified as the active compound in the cell free culture filtrate of Alternaria alternata, showing maximum phytotoxicity at 100 µg/ml.",0.0,5313daa8b984.pdf,6f80ee51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,ethyl acetate,TLC,,Lantana camara,,,,,,{},26.0,21.0,,Phytotoxic fraction CFCF from A. alternata (21 days) showed maximum toxicity in L. camara seedlings,0.0,5313daa8b984.pdf,6f80ee51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L. camara,detached leaves,acetone,vacuum evaporation,0.1,L. camara,,,,,,"{""compound_name"": ""tenuazonic acid""}",26.0,,,"Phytotoxin tenuazonic acid from Alternaria alternata caused 95-100% plant death in detached L. camara leaves (Fig. 5, 7)",0.0,5313daa8b984.pdf,6f80ee51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves and stems,water,filtration,,Lantana camara,,,,,,"{""compound"": ""tenuazonic acid""}",,,,"W badaniach oceniano fitotoksyczność bezkomórkowych filtratów kultur Alternaria alternata (CFCF) wobec szkodliwego chwastu Lantana camara. Wyniki badań przeprowadzonych na odciętych łodygach siewek oraz biotestu na odciętych liściach ujawniły obecność toksycznego metabolitu w filtracie, a także istotną redukcję zawartości chlorofilu i białka.",0.0,5313daa8b984.pdf,6f80ee51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,577e27183a88.pdf,0d2a8ac6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,,,,,Tree species,,,,,,{},,,,"Lantana camara cover percentage (low: 0-30%, medium: 31-60%, high: 61-100%) correlates with decline in tree populations in tropical dry deciduous forests of northern India.",0.0,577e27183a88.pdf,0d2a8ac6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bauhinia racemosa Lam.,,,,,,,,,,,{},,,,,0.0,577e27183a88.pdf,0d2a8ac6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mesospherum suaveolens (L.) Kuntze, Lantana montevidensis (Spreng.) Briq., Lantana camara L., Tarenaya spinosa (Jacq.)",leaves,water,hydrodistillation,,Cereus jamacaru DC. subsp. jamacaru,,,,,,{},,,,"The study evaluated the allelopathic effect of essential oils from four plant species on the germination of Cereus jamacaru DC. subsp. jamacaru. Essential oils were extracted via hydrodistillation from the leaves of each species. The oils negatively affected germination in C. jamacaru, but specific quantitative metrics (e.g., germination percentages, root/shoot lengths, phenolic content) were not provided in the excerpt.",0.0,59dea6036695.pdf,44b3ed0b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesosphaerum suaveolens,seeds,chloroform,GC-MS,,Mesosphaerum suaveolens,,,,,,{},30.0,7.0,,Essential oil diluted in DMSO (1%); concentrations: 125-1000 μg/mL; germination assay at 30°C for 7 days,0.0,59dea6036695.pdf,44b3ed0b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.09,,,,,,,"{""name"": ""Sabinene"", ""retention_index_1"": 976, ""retention_index_2"": 976, ""percentage"": 15.94, ""another_value"": 6.05}",,,,,0.0,59dea6036695.pdf,44b3ed0b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,methanolic,sandwich method,,wheat,Wafaq-2001,65,,,,{},,,,,0.0,594945fc209a.pdf,7b30de92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaf,methanol,shaking for 6 hours (repeated 3 times),,wheat,,,,,,{},,,,,0.0,594945fc209a.pdf,7b30de92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parthenium hysterophorus,leaf,aqueous,aqueous extraction,,wheat and canola,,,,,,{},,,,Leaf extracts of Parthenium hysterophorus showed higher phytotoxicity against wheat and canola compared to whole plant and root extracts. Germination suppression was more pronounced in Petri dish conditions than in soil-based experiments. Phenolic content increased by 9-172% in wheat and 22-60% in canola.,0.0,59f06a093526.pdf,12a759c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parthenium,leaves,distilled water,soaking at 10g per 100mL for 24 hours at room temperature,,wheat,,,,,,{},,,,Leaf extract was more suppressive in wheat than whole plant and root extract at all concentrations.,0.0,59f06a093526.pdf,12a759c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canola,whole plant,aqueous,in vitro,,canola,,56,,,,{},,,,"At 10% aqueous extract concentration, whole plant parthenium reduced final germination percentage (FGP) of canola by 44%.",0.0,59f06a093526.pdf,12a759c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,5a47a852fc97.html,221c3767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,Prasher et al. (2018) Silver nanoparticles as antimicrobial therapeutics: current perspectives and future challenges,0.0,5a47a852fc97.html,221c3767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ageratina adenophora,leaf,water,dry,,Rice,Arize 6444,19,,,,{},,,,,,5a82e3db5d66.pdf,1b57c806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oryza sativa L.,leaves,water,aqueous extraction,,Oryza sativa L.,Arize 6444,,,,,{},,,,,0.0,5a82e3db5d66.pdf,1b57c806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. adenophora,leaf,water,soaking,,Oryza sativa,RV I,,,,,{},,,,A. adenophora leaf extracts reduced seed germination of rice varieties RV I and RV II; dry extracts showed stronger inhibition than fresh extracts.,0.0,5a82e3db5d66.pdf,1b57c806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maize,kernel,,,,,,,,,,{},,,,"Mycotoxins in West Africa: Maize and groundnuts are key substrates for aflatoxin contamination. Fumonisins are widespread in maize. Other contaminated products include dried yam chips, tiger nut, melon seeds, and stored herbal plants. Contamination favored by stress factors, late harvesting, high humidity, poor storage, and lack of awareness. Control measures include education, early harvesting, rapid drying, sorting, improved storage, smoking, insect control, and detoxification.",0.0,5c739faaca22.pdf,67bae415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zea mays,kernel,,,,maize,,,,,,{},,,,Fumonisin B detected in 55 out of 108 maize samples from Nigeria with concentrations ranging from 65 to 1830 μg/kg (mean 390 μg/kg). Significant correlation found with aflatoxin levels.,0.85,5c739faaca22.pdf,67bae415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groundnuts,seeds,,,,groundnuts,Burkina Faso,,,,,{},,,,"Seeds of groundnuts from Burkina Faso inoculated with A.flavus excreted all the four major aflatoxins, which peaked at 170 ppb after 6 days.",0.0,5c739faaca22.pdf,67bae415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,5c739faaca22.pdf,67bae415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phaseolus vulgaris L.,leaf,distilled water,dilution of ground L. camara powder in distilled water,80.0,Phaseolus vulgaris,Nasir,,,,,{},30.0,,,Lantana camara leaf extract at 80 mg/ml concentration significantly increased germination day from 7.67 to 10.33 days for Nasir genotype,0.0,5de8aa3abe53.pdf,8b662703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phaseolus vulgaris L.,leaf,water,aqueous,26.67,Phaseolus vulgaris L.,Sosiad,86.11,,,,{},,,,,,5de8aa3abe53.pdf,8b662703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phaseolus vulgaris L.,leaves,aqueous,aqueous extraction,,Phaseolus vulgaris L.,,,,,,{},,,,"L. camara leaf extract at higher concentrations inhibited germination, plumule length, shoot fresh weight, and germination index in haricot bean (P. vulgaris L.) genotypes.",0.0,5de8aa3abe53.pdf,8b662703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantago lagopus,,ethanolic,,,Lycopersicon esculentum,,,,,,{},,20.0,,Plantago lagopus extract (100 μg/ml) enhanced tomato growth and reduced Rhizoctonia solani disease index by 18.66% and 38.66%,0.0,617b12bc8ac4.pdf,29163a72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantago lagopus,leaves,ethanol,ethanol extraction,,Tomato,,,,,,"{""p-hydroxybenzoic"": ""detected"", ""chlorogenic"": ""detected"", ""gallic"": ""detected"", ""vanillic"": ""detected"", ""apigenin"": ""detected"", ""luteolin"": ""detected"", ""luteolin-7-O-glucoside"": ""detected""}",,,,,0.0,617b12bc8ac4.pdf,29163a72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomato,Roots,PDA,Food poisoning technique,0.01,Tomato,Peto 86,,,,,{},25.0,7.0,,P. lagopus extract at 10 μg/mL showed 100% inhibition of R. solani mycelial growth. Reduced disease index by 18.66% (protective treatment) and 38.66% (curative treatment) compared to control.,0.0,617b12bc8ac4.pdf,29163a72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomato,whole plant,water,in vitro,,tomato,,,213.0,366.0,,"{""PR-1"": ""upregulated"", ""PR-2"": ""upregulated"", ""PR-3"": ""upregulated"", ""CHS"": ""upregulated""}",,,,"Greenhouse experiment showing significant growth enhancement in tomato plants (p ≤ 0.05) with P. lagopus extract. Extract treatment increased root length by 21.30 cm, shoot length by 36.60 cm, and chlorophyll SPAD value to 38.88.",0.95,617b12bc8ac4.pdf,29163a72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus difformis L.,shoots,distilled water,aqueous extraction,,Lactuca sativa L.,Isla,,,,,{},,,,"Aqueous extracts of Cyperus difformis L. showed allelopathic effects on lettuce germination and seedling growth, with highest impact at 100% concentration.",0.0,6ae9688623cc.pdf,1b860753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commelina benghalensis,root,aqueous,extraction,,Lactuca sativa,,,,,,{},25.0,7.0,,Root length of Lactuca sativa reduced by 84.0% at 100% concentration of aqueous extracts,0.0,6ae9688623cc.pdf,1b860753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus difformis,seeds,aqueous,dilution,,Lactuca sativa,,,,,,{},,,,Cyperus difformis caused 69.4% reduction in fresh matter at 100% concentration,0.0,6ae9688623cc.pdf,1b860753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vicia faba, Typha angustifolia",roots,,,,,,,,,,{},,,,"This review article discusses the sources of lead contamination, its availability in the rhizosphere, uptake mechanisms by roots, and root defense strategies against lead stress. Lead is a toxic heavy metal that affects plant root growth and development.",0.0,6199c8fccb87.pdf,ce6123f8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,6199c8fccb87.pdf,ce6123f8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex pendula,root,wastewater,cell wall fraction,,Carex pendula,,,,,,{},,,,Wastewater; Yadav et al. (2011); binds to carboxyl groups of pectin in cell walls,0.0,6199c8fccb87.pdf,ce6123f8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
